company_name,company_website,industry,company_size,contact_name,contact_email,contact_title,notes
FOX SERVICE COMPANY,https://www.foxservice.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"FRANK GAY SERVICES, LLC",https://frankgayservices.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"Ferran Services & Contracting, Inc.",,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
GAC SERVICES,https://www.gacservices.com/generators,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Gabe's Priority AC Service,https://york.dispatch.me/booking/times?externalorganizationid=200412421&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Gillette Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Grissom Brother Service Co,http://www.grissomservice.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=163443,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
HUNTER SERVICE GROUP,https://www.hunterservicegroup.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Hawks Services Llc,https://york.dispatch.me/booking/times?externalorganizationid=200406895&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"JBD Air Conditioning & Heating Services, Inc.",https://jbdhvac.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=9023028,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
JBI SERVICES LLC,https://www.jbigenerators.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
JL Appliance Services,https://york.dispatch.me/booking/times?externalorganizationid=200414413&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Juscardcelectric Service LLC,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
LAKELAND GENERATOR SERVICE INC.,http://www.lakelandgenerator.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
LONG ISLAND EMERGENCY POWER,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Lakeside Service Co,http://www.lakesideservice.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=5319,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
MGI Mechanical Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Maintenance First,https://york.dispatch.me/booking/times?externalorganizationid=200407236&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"Mattioni Services, Inc.",https://york.dispatch.me/booking/times?externalorganizationid=200413133&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Mount Kisco Mechanical Service Corp,http://www.mountkiscomechanical.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=5753,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Oak Electric Service Inc,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"PATRIOT SERVICES ELECTRIC, LLC",,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"POWER OUTAGE SERVICES COMPANY, LLC",https://www.powerout.us/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
PREMIER BUILDING SERVICES,https://york.dispatch.me/booking/times?externalorganizationid=200413399&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Pcpi Services,https://york.dispatch.me/booking/times?externalorganizationid=200412154&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Property Care Services LLC,https://york.dispatch.me/booking/times?externalorganizationid=200414055&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"R.G. BEHERS ELECTRICAL SERVICE, INC",https://rgbeherselectric.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Refrigeration Services Inc.,https://york.dispatch.me/booking/times?externalorganizationid=200404689&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Renewable Energy Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Rs Andrews Services,https://york.dispatch.me/booking/times?externalorganizationid=200403805&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
SATURN ELECTRICAL SERVICES,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
SCOTT'S ELECTRICAL SERVICE LLC,https://www.ses-power.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
SERVICE BY SHAWN,https://york.dispatch.me/booking/times?externalorganizationid=200413543&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
STG ELECTRIC SERVICES LLC,https://www.stgelectricservices.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
STUD SERVICE CO,https://york.dispatch.me/booking/times?externalorganizationid=200413615&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
SUMMIT ELECTRICAL SERVICES,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
SUNSHINE FUELS &ENERGY SERVICES INC,https://www.sunshineoilco.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Slebodnik Services,https://york.dispatch.me/booking/times?externalorganizationid=200409916&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
TECH SERVICES,https://www.techservicesspecialties.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"TOTAL BUILDING SOLUTIONS, INC",,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
TOTAL POWER SOLUTIONS LLC.,https://www.totalpwrsolutions.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"TRI-COUNTY ELECTRIC SERVICE, INC.",https://www.tricountyelectricservice.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
TRUPOWER GENERATOR SERVICE,https://trupowergeneratorservice.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Tiger Services,https://york.dispatch.me/booking/times?externalorganizationid=200413729&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Total Comfort Solutions,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Total Energy Solutions - Broussard,https://www.totalenergysolutions.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Total Plumbing And Drains Solutions - Mooresville,https://www.totalplumgingpros.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Usa Hvac Services Llc,https://york.dispatch.me/booking/times?externalorganizationid=200405237&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
WEEKS SERVICE CO,https://weeksservicecompany.com/electrical/generator-installation/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
mertens service Inc,https://york.dispatch.me/booking/times?externalorganizationid=574&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
GREEN TECH CONSTRUCTION LLC,https://www.gtconstruction.solar,HVAC/Electrical,Unknown,,info@gtconstruction.solar,,"ICP Score: 55.0, Tier: SILVER"
Red Star Electric,https://redstarelectric.net/ev-charging/,HVAC/Electrical,Unknown,,EVCharging@redstarelectric.net,,"ICP Score: 55.0, Tier: SILVER"
ARC ELECTRIC AIR CONDITIONING & HEATING INC,https://york.dispatch.me/booking/times?externalorganizationid=744&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
"Allied Plumbing, Heating & Air",https://york.dispatch.me/booking/times?externalorganizationid=200413213&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
"Cellino Plumbing, Heating & Cooling",,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Climate Masters & Electric Company Inc.,,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Dick Ray Master Plumber,https://york.dispatch.me/booking/times?externalorganizationid=200409527&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Duvall Plumbing H&c,https://york.dispatch.me/booking/times?externalorganizationid=200411232&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
HARRY CLARK PLUMBING AND HEATING,https://york.dispatch.me/booking/times?externalorganizationid=11298&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Heating and Plumbing Engineers,https://york.dispatch.me/booking/times?externalorganizationid=200405923&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
"KEN HERBERT PLUMBING, LLC",https://york.dispatch.me/booking/times?externalorganizationid=200412877&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
KWIK SERVE PLUMBING,https://york.dispatch.me/booking/times?externalorganizationid=200414159&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
"Lawson Air Conditioning and Plumbing, Inc.",https://www.lawsonac.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=5352,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Mullin Plumbing Inc.,https://york.dispatch.me/booking/times?externalorganizationid=200413530&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
PETRO PLUMBING & MECHANICAL,https://petroplumbingmechanical.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
"PV Heating, Cooling & Plumbing",,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Ravinia Plumbing & Heating,http://www.raviniaplumbing.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=73572,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Raymond Plumbing and Heating Inc,https://www.raymondplumbing.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=6174,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Rescue Air & Plumbing,https://york.dispatch.me/booking/times?externalorganizationid=200413705&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Rogers Plumbing and Heating,https://york.dispatch.me/booking/times?externalorganizationid=200407865&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
STEPHENS PLUMBING,https://york.dispatch.me/booking/times?externalorganizationid=3468&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
"Siemer Heating, Cooling & Plumbing",https://siemerinc.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=6545,HVAC/Electrical,Unknown,,,,"ICP Score: 55.0, Tier: SILVER"
Home Maintenance Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.8, Tier: SILVER"
"ABLE BUSINESS SERVICES, INC.",https://www.ablebusinessservices.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 54.5, Tier: SILVER"
ACS COMMERCIAL SERVICES LLC,https://acsfixit.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 54.5, Tier: SILVER"
COMMERCIAL EQUIPMENT SERVICE INC.,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.5, Tier: SILVER"
Commercial Refrigeration Service Inc,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.5, Tier: SILVER"
INDUSTRIAL PIPING & MAINTENANCE,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.5, Tier: SILVER"
Soga Industrial Diesel Repair - Nashville,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.5, Tier: SILVER"
4TH GENERATION ELECTRIC INC,https://www.4thgenerationelectric.net/,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
907 Solar,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
A WIRING MAN,https://www.awiringman.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
"A. C. POWER SOLUTIONS, INC",,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
A1 PLUS ELECTRICAL LLC,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
"AAA GENERATOR, INC.",https://www.aaagenerator.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
ABC Solar Incorporated,,HVAC/Electrical,Unknown,,,,"ICP Score: 54.0, Tier: SILVER"
