phone_normalized,Contractor Name,Phone,Domain,City,State,OEM Sources,OEM Count,ICP Fit Score,ICP Tier,Resimercial Score,O&M Score,Multi-OEM Score,MEP+R Score,is_multi_oem,oem_count_verified,state_count,is_multi_state,multi_state_bonus
2012654822,CASCOL LLC,(201) 265-4822,,,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2012657700,BP ELECTRICAL CONTRACTING CO INC,(201) 265-7700,,wood,NJ,Generac,1,7.0,BRONZE,0.0,0.0,25,25.0,False,1,1,False,0
2013855000,"GROUNDED ELECTRIC SERVICES, LLC",(201) 385-5000,,bergenfield,NJ,Generac,1,21.0,BRONZE,0.0,40.0,25,0.0,False,1,1,False,0
2013877007,ALL-WEATHER INC,(201) 387-7007,all-weathergenerators.com,bergenfield,NJ,Generac,1,25.0,BRONZE,40.0,20.0,25,0.0,False,1,1,False,0
2013904376,"JMR ELECTRICAL CONTRACTING, LLC",(201) 390-4376,,maywood,NJ,Generac,1,7.0,BRONZE,0.0,0.0,25,25.0,False,1,1,False,0
2013941813,R & R ELECTRICAL,(201) 394-1813,randrgenerators.net,,NJ,Generac,1,7.0,BRONZE,0.0,0.0,25,25.0,False,1,1,False,0
2014216038,VACCARELLA ELECTRICAL SERVICES LLC,(201) 421-6038,vaccnj.com,paramus,NJ,Generac,1,31.0,BRONZE,0.0,60.0,25,25.0,False,1,1,False,0
2014450200,BENSON VER HAGE ELECTRIC CO,(201) 445-0200,bvhgenerators.com,wyckoff,NJ,Generac,1,25.0,BRONZE,40.0,20.0,25,0.0,False,1,1,False,0
2014465241,BUILT RIGHT GENERATORS LLC,(201) 446-5241,builtrightgenerators.com,haworth,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2014896233,GRC MECHANICAL SERVICES,(201) 489-6233,,reet south hackensack,NJ,Generac,1,23.0,BRONZE,0.0,40.0,25,25.0,False,1,1,False,0
2016007121,MALFETTONE ELECTRIC LLC,(201) 600-7121,malfettoneelectric.com,jersey city,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2016341957,RHINO ELECTRIC LLC,(201) 634-1957,,ive paramus,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2016440838,"K. HANRAHAN ENTERPRISES, INC",(201) 644-0838,855fixlight.com,fair lawn,NJ,Generac,1,23.0,BRONZE,60.0,0.0,25,0.0,False,1,1,False,0
2017079001,A TEAM ELECTRICAL CONTRACTORS CORP,(201) 707-9001,,saddle brook,NJ,Generac,1,10.0,BRONZE,0.0,0.0,25,50.0,False,1,1,False,0
2018484808,JC ELECTRIC INC,(201) 848-4808,jcelectric.com,mahwah,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2018914444,M.F. ELECTRIC,(201) 891-4444,mfelectric.com,wyckoff,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2019237655,POWER MAC LLC,(201) 923-7655,,clifton,NJ,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102012193,BEYER AIR CONDITIONING & HEATING,(210) 201-2193,,selma,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102013088,SATX ELECTRIC LLC,(210) 201-3088,satxelectric.com,san antonio,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102014001,SEVEN PETAL ELECTRIC,(210) 201-4001,,en ridge,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102022380,TRUE EXCELLENCE GROUP,(210) 202-2380,trueexcellencegroup.com,san antonio,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102316060,NATIVE POWER SYSTEMS INC,(210) 231-6060,nativepowersystems.com,san antonio,TX,Generac,1,7.0,BRONZE,0.0,0.0,25,25.0,False,1,1,False,0
2102498685,OLYMPUS ELECTRIC & SOLAR LLC,(210) 249-8685,olympuselectric210.com,san antonio,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102782572,YUKER ELECTRIC LLC,(210) 278-2572,yukerelectricllc.com,silverwings spring branch,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102871627,ADVANCED SOLAR AND ELECTRIC LLC,(210) 287-1627,advancedsolar.com,cibolo,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2102892482,"GREEN & HANSEN, LLC",(210) 289-2482,,san antonio,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2103186169,CASANOVA ELECTRIC CORP,(210) 318-6169,,powell san antonio,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2103694313,ELMER'S HOME SERVICES LLC,(210) 369-4313,elmershomeservices.com,san antonio,TX,Generac,1,29.0,BRONZE,0.0,60.0,25,0.0,False,1,1,False,0
2103877949,DIETRICH ELECTRICAL SERVICES LLC,(210) 387-7949,dietrichelectricalservices.com,helotes,TX,Generac,1,23.0,BRONZE,0.0,40.0,25,25.0,False,1,1,False,0
2103968756,"TRISTAR SERVICES, LLC",(210) 396-8756,tristarservicesllc.net,san antonio,TX,Generac,1,21.0,BRONZE,0.0,40.0,25,0.0,False,1,1,False,0
2104097271,"DIAMONDBACK ELECTRICAL SERIVCES, LL",(210) 409-7271,diamondbackelectrical.com,la vernia,TX,Generac,1,7.0,BRONZE,0.0,0.0,25,25.0,False,1,1,False,0
2104161820,THE QUORUM GROUP INC.,(210) 416-1820,,santa helena san antonio,TX,Generac,1,5.0,BRONZE,0.0,0.0,25,0.0,False,1,1,False,0
2104175319,"SYMCY SERVICES, LLC",(210) 417-5319,,e,TX,Generac,1,21.0,BRONZE,0.0,40.0,25,0.0,False,1,1,False,0
2104460200,1ST CALL PLUMBING HTG & AIR LTD,(210) 446-0200,1stcallsa.com,er san antonio,TX,Generac,1,7.0,BRONZE,0.0,0.0,25,25.0,False,1,1,False,0
2104521415,GENERATOR SERVICE SOLUTIONS LLC,(210) 452-1415,,red buckeye loop liberty hill,TX,Generac,1,23.0,BRONZE,0.0,40.0,25,25.0,False,1,1,False,0
