Contractor Name,Phone,Domain,ICP Fit Score,ICP Tier,Resimercial Score,O&M Score,Multi-OEM Score,MEP+R Score,OEM Count,OEM Sources,oem_count_verified,is_multi_oem,LicenseNo,BusinessName,MailingAddress,City_license,County,ZIPCode,BusinessPhone,Classifications(s),PrimaryStatus,ExpirationDate,phone_normalized,has_ca,state_ca,has_tx,name,license_number,oem_source,icp_score,tier,state_count,state_list,multi_state_bonus,OEM Count_oem_master,OEM Sources_oem_master,is_multi_oem_oem_master,oem_count_verified_oem_master,multi_oem_score,resimercial_score,om_score,mepr_score
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 201-3088,False,,True,SATX ELECTRIC LLC,35006.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 278-2572,False,,True,YUKER ELECTRIC LLC,33834.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 307-9847,False,,True,GREEN LIGHT ELECTRIC,35520.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 318-6169,False,,True,CASANOVA ELECTRIC CORP,31805.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 387-7949,False,,True,DIETRICH ELECTRICAL SERVICES LLC,31582.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 409-7271,False,,True,"DIAMONDBACK ELECTRICAL SERIVCES, LL",35003.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 417-5319,False,,True,"SYMCY SERVICES, LLC",20294.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 589-3976,False,,True,GONZALEZ ELECTRICAL CONTRACTOR,30525.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 609-5909,False,,True,5G ELECTRIC LLC,34569.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 647-3138,False,,True,ABSOLUTE PWR ELECTRIC CONTRACTORS,22434.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 677-9818,False,,True,210 ELECTRICAL LLC,40001.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
,,,,,,,,,0,,0,False,,,,,,,,,,,(210) 701-0192,False,,True,HUNTER SERVICE GROUP,31355.0,Generac,,BRONZE,1,TX,0,,,,,0,,,
